No Kuesioner,Nama Kuesioner,Dusun / Kampung,Kelurahan,Kecamatan,Kota,DAPIL,Provinsi,P1,P2,P3,P4,P5,P6,P7,P8,P9,Pilihan Presiden
159,Kuesioner 159,Talang Panjang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,2,12,4,1,13,10,5,PRABOWO DAN SANDIAGA UNO,2,2
160,Kuesioner 160,Talang Padang,Talang Panjang,Ilir Talo,Kab. Seluma,BENGKULU,Bengkulu,2,Tidak Kerja,3,1,13,Serawai,6,2,2,3
161,Kuesioner 161,Siyangan,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,6,8,6,1,9,10,2,JOKOWI WIDODO,2,1
162,Kuesioner 162,Siyangan,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,1,1,1,9,10,4,JOKOWI,PKB,1
163,Kuesioner 163,Siyangan,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,1,1,1,9,10,5,JOKOWI AMIN MA'RUF,PDI P,1
164,Kuesioner 164,Siyangan,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,3,1,1,9,10,5,JOKOWI AMIN MA'RUF,PKB,1
165,Kuesioner 165,Ciren,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,1,1,1,9,10,5,Jokowi Amin Ma'ruf,PDIP,1
166,Kuesioner 166,ciren pandak,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,8,4,1,8,10,2,masih bingung,2,1
167,Kuesioner 167,Jigudan,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,3,1,1,1,9,10,5,Jokowi Amin ma'ruf,PDI P,1
168,Kuesioner 168,Jigudan,triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,3,3,2,1,9,10,4,JOKOWI AMIN MA'RUF,PDI P,1
169,Kuesioner 169,tirto,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,1,1,1,9,10,5,JOKOWI,IDHAM SAMAWI,1
170,Kuesioner 170,Tirto,Triharjo,Pandak,Kab. Bantul,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,3,1,1,9,10,4,JOKOWI,PDI P,1
171,Kuesioner 171,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,1,8,1,14,10,3,2,2,1
172,Kuesioner 172,dusun,Patangpuluhan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,6,11,8,3,,10,5,2,2,3
173,Kuesioner 173,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,1,8,1,14,10,7,2,2,1
174,Kuesioner 174,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,3,8,1,14,10,3,2,2,1
175,Kuesioner 175,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,5,1,8,1,14,10,3,2,2,2
176,Kuesioner 176,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,3,8,1,14,10,3,2,2,1
177,Kuesioner 177,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,3,1,8,1,14,10,4,2,2,1
178,Kuesioner 178,-,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,5,3,8,1,14,10,3,2,2,2
179,Kuesioner 179,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,5,1,8,1,14,10,3,2,2,2
180,Kuesioner 180,dusun,kelurahan,Wirobrajan,Kota Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,3,8,1,14,10,3,2,2,1
181,Kuesioner 181,Kujon lor,kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,11,8,1,13,10,5,2,2,2
182,Kuesioner 182,"kujon lor, kranggan, ",Kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,5,15,3,1,13,10,4,2,2,2
183,Kuesioner 183,"Kujon lor, krangan, galur , kulon progo Di yogyakarta",Kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,15,4,1,8,10,5,nur sasmito,Nur sasmito,3
184,Kuesioner 184,"Kujon lor, krangan, galur , kulon progo Di yogyakarta",kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,1,6,4,1,8,10,5,2,2,2
185,Kuesioner 185,"klotakan, kranggan, galur KP DIY",Kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,15,4,1,LDII,10,5,JOKOWI M AMIN,2,1
186,Kuesioner 186,Klotakan,kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,3,3,5,1,Aisyah,10,5,2,2,2
187,Kuesioner 187,"Krangan kulon, kranggan, galur KP , DIY",kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,2,12,4,1,13,10,4,2,2,3
188,Kuesioner 188,"Krangan kulon, kranggan, galur KP , DIY",kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,1,1,3,1,13,10,6,2,2,2
189,Kuesioner 189,"Krangan kulon, kranggan, galur KP , DIY",Kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,12,4,1,13,10,4,PRABOWO SANDI,PAK NUR,2
190,Kuesioner 190,"Krangan kulon, kranggan, galur KP , DIY",Kranggan,Galur,Kab. Kulon Progo,DAERAH ISTIMEWA YOGYAKARTA,Daerah Istimewa Yogyakarta,4,6,3,1,13,10,4,JOKOWI M AMIN,PAK NUR,1
191,Kuesioner 191,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,8,6,1,13,10,4,2,2,2
192,Kuesioner 192,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,3,4,1,13,10,4,PRABOWO SANDI,GERINDRA,2
193,Kuesioner 193,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,1,5,1,13,6,4,PRABOWO SANDI,2,2
194,Kuesioner 194,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,8,5,1,13,16,2,PRABOWO SANDI,GERINDRA,2
195,Kuesioner 195,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,2,11,7,1,9,6,5,2,PARTAI BERKARYA,3
196,Kuesioner 196,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,6,5,1,13,14,2,PRABOWO SANDI,PARTAI BERKARYA,2
197,Kuesioner 197,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,Ojeg,4,1,13,10,4,PRABOWO SANDI,PKS,2
198,Kuesioner 198,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,3,3,1,13,10,5,JOKOWI AMIN,2,2
199,Kuesioner 199,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,10,3,1,MR,6,2,2,2,3
200,Kuesioner 200,UJUNG MENTENG,UJUNG MENTENG,Cakung,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,1,3,5,1,13,6,3,2,2,1
201,Kuesioner 201,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,1,5,1,13,6,3,Prabowo-Sandi,Geeindrq,2
202,Kuesioner 202,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,2,3,5,1,13,10,4,Jokowi dan Ma'ruf,2,1
203,Kuesioner 203,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,4,8,2,,5,2,Jokowi dan Ma'ruf,2,1
204,Kuesioner 204,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,3,5,1,13,6,5,Prabowo-Sandi,2,2
205,Kuesioner 205,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,5,8,5,1,13,6,3,Prabowo-Sandi,Gerindra,2
206,Kuesioner 206,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,3,5,1,13,16,5,Prabowo-Sandi,PKS,2
207,Kuesioner 207,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,3,1,4,2,,7,5,Jokowi dan Ma'ruf,2,1
208,Kuesioner 208,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,1,5,1,13,10,5,Pabowo-Sandi,PKS,2
209,Kuesioner 209,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,4,11,4,1,13,6,5,Prabowo dan Sandi,2,2
210,Kuesioner 210,Utan Kayu Utara,Utan Kayu Utara,Matraman,Kota Jakarta Timur,DKI JAKARTA I,DKI Jakarta,2,3,5,1,13,10,5,2,2,1
211,Kuesioner 211,kp rawa,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,4,15,4,1,13,5,2,prabowo sandi,gerindra,2
212,Kuesioner 212,kp rawa selatan,kampung rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,2,3,1,1,13,6,5,prabowo,gerindra,2
213,Kuesioner 213,kp rawa,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,4,11,3,1,13,6,5,prabowo,gerindra,2
214,Kuesioner 214,kp rawa,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,3,3,1,1,13,6,4,perabowo,gerindra,2
215,Kuesioner 215,kp rawa,kampung rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,4,15,5,1,13,6,2,perabowo,gerindra,2
216,Kuesioner 216,kp rawa,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,3,3,1,1,13,6,3,jokowi dodo,pdi perjuangan,1
217,Kuesioner 217,kp rawa,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,3,11,4,1,13,6,3,perabowo,gerindra,2
218,Kuesioner 218,kp rawa selatan 3,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,4,3,1,1,13,6,4,prabowo  dan sadiaga uno,gerindra,2
219,Kuesioner 219,kp rawa selatan,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,3,15,1,1,13,6,4,jokowi ,PDI PERJUANGAN,1
220,Kuesioner 220,kp rawa selatan 3,kp rawa,Johar Baru,Kota Jakarta Pusat,DKI JAKARTA II,DKI Jakarta,4,3,2,1,13,6,4,prabowo ,gerindra,2
221,Kuesioner 221,1/1,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,4,14,8,1,13,10,3,PRABOWO DAN SANDI,GERINDRA,2
222,Kuesioner 222,1/1,cikoko,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,4,3,8,1,13,6,5,JOKOWI DAN AMIN,2,1
223,Kuesioner 223,2/2,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,6,2,5,1,8,6,4,PRABOWO DAN SANDI ,PKS ,2
224,Kuesioner 224,2/2,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,4,3,5,1,14,MEDAN,3,PRABOWO DAN SANDI ,2,2
225,Kuesioner 225,10/2,CIKOKO ,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,5,OJEK ONLINE,5,1,13,10,3,PRABOWO DAN SANDI,PKS,2
226,Kuesioner 226,10/2,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,4,15,5,1,13,SOLO,5,JOKOWI DAN AMIN,NASDEM,1
227,Kuesioner 227,6/3,CIKOKO ,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,5,8,6,1,14,10,3,PRABOWO DAN SANDI,2,2
228,Kuesioner 228,6/3,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,5,2,4,1,14,6,5,PRABOWO DAN SANDI,PPP,2
229,Kuesioner 229,7/3,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,6,8,6,2,,10,3,JOKOWI DAN MARUF,PDIP,1
230,Kuesioner 230,7/3,CIKOKO,Pancoran,Kota Jakarta Selatan,DKI JAKARTA II,DKI Jakarta,4,3,6,2,,MEDAN,5,JOKOWI DAN AMIN,PDIP,1
231,Kuesioner 231,Gg Rinan,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,6,8,6,1,13,6,2,JOKOWI MARUF,PDIP,1
232,Kuesioner 232,Komplek DKI,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,6,2,6,1,9,10,4,2,PKS,2
233,Kuesioner 233,Taman Alfa Indah,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,4,11,6,2,,6,5,JOKOWI MARUF,PSI,1
234,Kuesioner 234,Taman Alfa Indah,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,6,11,5,1,13,10,5,2,2,1
235,Kuesioner 235,Komplek Migas 55 Joglo,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,6,10,6,1,13,Padang,4,2,2,2
236,Kuesioner 236,Gang Musala,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,3,11,5,1,13,6,5,2,2,1
237,Kuesioner 237,Joglo,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,4,8,6,1,13,6,2,2,2,2
238,Kuesioner 238,Komplek DKI,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,4,3,5,1,13,6,3,PRABOWO SANDI,2,2
239,Kuesioner 239,Masjid Baabul Minan,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,4,8,6,1,13,10,2,2,2,2
240,Kuesioner 240,Masjid Baabul Minan,Joglo,Kembangan,Kota Jakarta Barat,DKI JAKARTA III,DKI Jakarta,4,14,5,1,13,6,1,PRABOWO SANDI,2,2
241,Kuesioner 241,rawasengon,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,2,1,2,1,13,10,5,"Jokowi ,maruf",pdip,1
242,Kuesioner 242,rawa sangon,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,2,15,4,1,13,10,3,jokowi,pdip,1
243,Kuesioner 243,rawa,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,bengkel,7,1,13,10,3,Jokowi Amin,PDIP,1
244,Kuesioner 244,rawa sengon,kelapa gading barat ,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,2,6,4,1,9,10,4,Jokowi ,pdip,1
245,Kuesioner 245,kelapa gading,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,5,15,6,1,13,6,4,Prabowo sandi,Gerindra,2
246,Kuesioner 246,perintis kemerdekaan,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,6,5,1,13,6,3,Prabowo Subianto dan sandi,Gerindra,2
247,Kuesioner 247,kelapa gading barat,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,1,1,1,13,10,4,Prabowo ,demokrat,2
248,Kuesioner 248,kelapa gading barat,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,4,5,1,9,16,1,Jokowi maruf,PDIP,1
249,Kuesioner 249,sengon,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,6,5,1,14,16,3,2,2,3
250,Kuesioner 250,rawa sengon ,kelapa gading barat,Kelapa Gading,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,humas,8,1,13,NTT,3,Prabowo sandi,Gerindra,2
251,Kuesioner 251,lodan dalam 2 G,ancol ,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,tidak tetap,4,1,3,6,3,Prabowo sandi,Gerindra,2
252,Kuesioner 252,bandan,Ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,3,4,1,13,6,2,rahsia,tt,2
253,Kuesioner 253,bandan Ancol,ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,2,1,3,1,13,16,3,jokowi amin,golkar,1
254,Kuesioner 254,lodan dalam no.16,Ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,6,3,6,1,13,13,5,Jokowi amin,PDIP,1
255,Kuesioner 255,kp. tongkol dalam,Ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,2,1,4,1,13,6,3,tt,pan,2
256,Kuesioner 256,"grapu, pademangan",ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,1,3,4,1,13,7,3,Jokowi dan makruf,PDIP,1
257,Kuesioner 257,lodan raya,ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,15,4,1,13,10,4,Prabowo sandi,gerindara,2
258,Kuesioner 258,jln puri nusa,ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,3,2,1,14,16,4,jkowi,tt,1
259,Kuesioner 259,japat,Ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,4,8,4,1,13,6,5,Prabowo Subianto dan sandi,pks,2
260,Kuesioner 260,jln.raya lodan,ancol,Pademangan,Kota Jakarta Utara,DKI JAKARTA III,DKI Jakarta,3,15,3,1,13,16,5,Jokowi amin,pdip,1
261,Kuesioner 261,dusun siku,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,4,1,5,1,13,12,4,Jokowi,Elnino ,1
262,Kuesioner 262,pohuwato timur,pohuwato timur,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,4,3,4,1,5,Gorontalo ,4,2,2,2
263,Kuesioner 263,ulongio,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,2,5,2,1,5,Gorontalo ,5,Prabowo,2,3
264,Kuesioner 264,dusun kerapuh,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,2,3,3,1,9,Gorontalo ,6,2,2,2
265,Kuesioner 265,milango,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,4,5,4,1,5,Gorontalo ,3,Prabowo,2,2
266,Kuesioner 266,ulungio,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,3,4,8,1,13,Gorontalo ,1,Jokowi,2,1
267,Kuesioner 267,wulungio,pohuwato timur,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,3,5,2,1,9,Gorontalo ,4,2,2,1
268,Kuesioner 268,pohuwato Timur ,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,2,3,2,1,14,Gorontalo ,3,2,2,1
269,Kuesioner 269,milango,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,2,5,3,1,14,Gorontalo ,5,Prabowo,2,2
270,Kuesioner 270,milango,pohuwato Timur ,Marisa,Kab. Pohuwato,GORONTALO,Gorontalo,5,3,4,1,14,Gorontalo ,3,2,2,1
271,Kuesioner 271,dusun mekar,sungai landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,12,3,1,9,10,4,2,GOLKAR,1
272,Kuesioner 272,dusun mekar,sungai landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,12,3,1,9,10,5,2,GOLKAR,1
273,Kuesioner 273,Dusun Sepakat,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,12,5,1,9,10,4,JOKOWI DAN MA'ARUF,PKB FADLI,1
274,Kuesioner 274,Dusun Sepakat,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,3,3,5,1,9,10,2,2,PDI PERJUANGAN,2
275,Kuesioner 275,DUSUN SEPAKAT,SUNGAI LANDAK,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,8,5,1,9,10,3,Jokowi dan Ma'ruf,2,1
276,Kuesioner 276,Dusun Sepakat,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,3,3,1,13,10,1,2,2,1
277,Kuesioner 277,Dusun Mekar,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,12,5,1,9,3,4,Jokowi - Ma'ruf,PDI PERJUANGAN,1
278,Kuesioner 278,DUSUN MEKAR,SUNGAI LANDAK,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,4,3,3,1,14,10,2,JOKOWI & MA'RUF,2,1
279,Kuesioner 279,Dusun Mekar,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,12,3,1,9,10,6,JOKOWI DAN MA'RUF,GOLKAR,1
280,Kuesioner 280,DUSUN MEKAR,Sungai Landak,Senyerang,Kab. Tanjung Jabung Barat,JAMBI,Jambi,2,3,4,1,9,10,3,JOKOWI - MA'RUF,2,1
281,Kuesioner 281,Dusun Kemang Manis,Desa Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,4,15,3,1,13,13,3,PRABOWO SUBIANTO dan SANDIAGA UNO,GERINDRA,2
282,Kuesioner 282,Dusun Tengah,Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,1,12,8,1,14,13,6,2,2,2
283,Kuesioner 283,Dusun Pelayangan,Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,3,12,3,1,13,13,1,PRABOWO SUBIANTO DAN SANDIAGA SALAHUDDIN UNO,GERINDRA,2
284,Kuesioner 284,Dusun Tengah,Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,2,3,8,1,13,13,5,PRABOWO dan SANDIAGA UNO,2,2
285,Kuesioner 285,DUSUN KEMANG MANIS,PULAU JELMU,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,4,12,3,1,13,13,4,JOKO WIDODO DAN MA'RUF AMIN,PDIP,1
286,Kuesioner 286,DUSUN PELAYANGAN,PULAU JELMU,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,3,3,8,1,13,13,2,2,2,2
287,Kuesioner 287,DUSUN KEMANG MANIS,DESA PULAU JELMU,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,1,12,3,1,13,13,5,PRABOWO SUBIANTO DAN SANDIAGA SALAHUDDIN UNO,2,2
288,Kuesioner 288,Dusun Pelayangan,Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,2,3,8,1,14,13,3,PRABOWO dan SANDIAGA UNO,2,2
289,Kuesioner 289,DUSUN PELAYANGAN,DESA PULAU JELMU,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,3,12,3,1,13,19,5,2,2,2
290,Kuesioner 290,Kemang Manis,Pulau Jelmu,Tebo Ulu,Kab. Tebo,JAMBI,Jambi,2,3,8,1,13,13,3,PRABOWO dan SANDIAGA UNO,GERINDRA,2
291,Kuesioner 291,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,4,1,2,1,9,16,4,2,PDIP DAN DEMOKRAT,1
292,Kuesioner 292,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,3,3,5,1,9,16,1,JOKOWI DAN MARUF,GOLKAR,1
293,Kuesioner 293,sukahaji,sukahaji,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,3,15,8,1,9,16,5,"JOKOWI DAN MARUF
",PDI,1
294,Kuesioner 294,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,2,3,8,1,9,16,3,JOKOWI DAN MARUF,PDIP,1
295,Kuesioner 295,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,2,1,3,1,9,16,5,JOKOWI dan MA'RUF,GERINDRA,1
296,Kuesioner 296,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,2,3,8,1,14,16,5,PRABOWO dan SANDI,GERINDRA,2
297,Kuesioner 297,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,3,15,8,1,14,16,5,2,2,1
298,Kuesioner 298,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,2,3,8,1,9,16,5,JOKOWI DAN MARUF,2,1
299,Kuesioner 299,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,3,1,5,1,9,16,3,PRABOWO DAN SANDIAGA,PERINDO,2
300,Kuesioner 300,SUKAHAJI,SUKAHAJI,Babakan Ciparay,Kota Bandung,JAWA BARAT I,Jawa Barat,4,14,8,1,13,16,1,2,2,2
